IP:Port,Loss,Latency
162.159.195.13:946,0%,154.18
162.159.195.120:4500,0%,154.64
162.159.192.171:891,0%,154.73
162.159.195.65:945,0%,154.86
162.159.195.242:968,0%,154.93
162.159.195.2:1018,0%,155.00
162.159.195.21:945,0%,155.04
162.159.195.170:8886,0%,155.06
162.159.195.165:955,0%,155.06
162.159.195.65:968,0%,155.06
162.159.192.80:1074,0%,155.18
162.159.195.54:943,0%,155.21
162.159.192.125:2408,0%,155.23
162.159.192.200:1701,0%,155.33
162.159.192.134:859,0%,155.41
162.159.195.30:854,0%,155.42
162.159.195.50:1018,0%,155.42
162.159.192.11:942,0%,155.46
162.159.195.94:1014,0%,155.49
162.159.192.189:2506,0%,155.52
162.159.192.33:890,0%,155.54
162.159.195.64:942,0%,155.57
162.159.192.211:1180,0%,155.58
162.159.192.138:5279,0%,155.64
162.159.192.32:934,0%,155.64
162.159.192.83:854,0%,155.65
162.159.192.175:908,0%,155.65
162.159.195.133:1014,0%,155.68
162.159.192.228:854,0%,155.68
162.159.195.221:7152,0%,155.69
162.159.192.228:890,0%,155.69
162.159.192.185:500,0%,155.69
162.159.192.239:2371,0%,155.70
162.159.192.202:908,0%,155.74
162.159.195.142:890,0%,155.77
162.159.195.150:5956,0%,155.78
162.159.195.188:943,0%,155.79
162.159.192.213:942,0%,155.81
162.159.192.4:1018,0%,155.81
162.159.192.134:1018,0%,155.91
162.159.192.69:1180,0%,155.93
162.159.192.59:878,0%,155.94
162.159.192.194:1002,0%,155.95
162.159.195.18:8886,0%,155.96
162.159.192.185:894,0%,155.97
162.159.195.158:878,0%,155.98
162.159.192.4:878,0%,155.99
162.159.192.79:1180,0%,156.01
162.159.192.118:928,0%,156.01
162.159.195.25:500,0%,156.01
162.159.192.17:7156,0%,156.01
162.159.195.83:934,0%,156.01
162.159.195.65:942,0%,156.01
162.159.195.182:2506,0%,156.03
162.159.192.90:4177,0%,156.03
162.159.195.251:7559,0%,156.05
162.159.195.7:3854,0%,156.05
162.159.192.249:1074,0%,156.06
162.159.192.148:3581,0%,156.09
162.159.195.109:880,0%,156.09
162.159.192.48:934,0%,156.10
162.159.192.141:4198,0%,156.10
162.159.192.64:3476,0%,156.11
162.159.195.216:942,0%,156.11
162.159.195.104:880,0%,156.15
162.159.195.228:891,0%,156.17
162.159.192.25:3854,0%,156.20
162.159.192.117:4177,0%,156.20
162.159.195.145:1387,0%,156.22
162.159.192.60:7103,0%,156.23
162.159.195.206:500,0%,156.24
162.159.195.130:955,0%,156.24
162.159.195.44:8319,0%,156.25
162.159.192.236:7156,0%,156.26
162.159.195.165:2506,0%,156.27
162.159.195.94:4198,0%,156.29
162.159.192.166:854,0%,156.30
162.159.195.219:908,0%,156.32
162.159.195.107:934,0%,156.36
162.159.195.249:3476,0%,156.37
162.159.195.113:880,0%,156.38
162.159.192.130:988,0%,156.39
162.159.195.131:928,0%,156.39
162.159.192.188:1002,0%,156.39
162.159.195.59:1018,0%,156.40
162.159.192.116:943,0%,156.40
162.159.192.204:880,0%,156.40
162.159.195.212:3854,0%,156.40
162.159.192.141:943,0%,156.40
162.159.195.182:934,0%,156.45
162.159.192.126:1018,0%,156.46
162.159.195.100:890,0%,156.46
162.159.192.31:7103,0%,156.47
162.159.195.154:7281,0%,156.48
162.159.195.25:968,0%,156.52
162.159.192.135:3854,0%,156.52
162.159.195.248:1701,0%,156.53
162.159.195.227:1074,0%,156.53
162.159.195.52:7103,0%,156.54
162.159.195.180:5956,0%,156.54
162.159.192.124:1701,0%,156.55
162.159.192.116:1014,0%,156.57
162.159.195.145:891,0%,156.57
162.159.195.252:3854,0%,156.58
162.159.192.171:4198,0%,156.58
162.159.195.227:1070,0%,156.59
162.159.192.236:880,0%,156.60
162.159.195.4:939,0%,156.61
162.159.192.195:4500,0%,156.61
162.159.195.80:7281,0%,156.62
162.159.195.215:8854,0%,156.62
162.159.195.127:8742,0%,156.62
